FCER1A	inhibition	FYN
FCER1A	effect	FYN
LOC102723407	activation	FCER1A
FCER1A	activation	FYN
FCER1A	activation	SYK
SMAD4	activation	ID2
SMAD1	activation	ID2
SMAD1	effect	ID2
SMAD5	activation	ID2
SMAD5	effect	ID2
SMAD9	activation	ID2
YAP1	inhibition	ID2
STAT3	activation	KLF4
KLF4	activation	SOX2
MAPK14	activation	IRF4
MAPK11	activation	IRF4
MAPK13	activation	IRF4
MAPK12	activation	IRF4
MTOR	activation	IRF4
MTOR	effect	IRF4
PTPRC	activation	LCK
PTPRC	activation	FYN
PTPRC	activation	HCK
PTPRC	activation	LYN
FN1	activation	ITGAX
C3	activation	ITGAX
MIR200C	inhibition	ZEB2
MIR205	inhibition	ZEB2
MIR200A	inhibition	ZEB2
MIR200B	inhibition	ZEB2
PGR	activation	KLF4
MIR29A	inhibition	KLF4
MIR29B1	inhibition	KLF4
MIR29B2	inhibition	KLF4
MIR29C	inhibition	KLF4
